Id;Tempo;aX;aY;aZ;Punch Type
1;20:56:08;0.0000;0.0000;0.0000;Jab
2;20:56:08;0.0000;0.0000;0.0000;Jab
3;20:56:08;0.0000;0.0000;0.0000;Jab
4;20:56:08;0.0000;0.0000;0.0000;Jab
5;20:56:08;0.0000;0.0000;0.0000;Jab
6;20:56:08;0.0000;0.0000;0.0000;Jab
7;20:56:09;656.250;26.250;-798.750;Jab
8;20:56:09;640.625;40.625;-795.625;Jab
9;20:56:09;641.875;45.625;-788.125;Jab
10;20:56:09;636.250;55.000;-754.375;Jab
11;20:56:09;635.000;50.625;-729.375;Jab
12;20:56:09;646.875;50.625;-730.625;Jab
13;20:56:09;656.875;55.000;-731.875;Jab
14;20:56:09;658.750;60.000;-714.375;Jab
15;20:56:09;659.375;60.000;-703.125;Jab
16;20:56:10;654.375;58.125;-693.125;Jab
17;20:56:10;651.875;43.750;-678.750;Jab
18;20:56:10;666.250;11.875;-697.500;Jab
19;20:56:10;693.750;-15.000;-723.750;Jab
20;20:56:10;730.000;-54.375;-742.500;Jab
21;20:56:10;749.375;-103.125;-723.125;Jab
22;20:56:10;749.375;-132.500;-677.500;Jab
23;20:56:10;712.500;-131.875;-610.625;Jab
24;20:56:10;665.625;-126.250;-538.125;Jab
25;20:56:10;628.125;-118.125;-467.500;Jab
26;20:56:11;591.250;-95.625;-400.625;Jab
27;20:56:11;543.750;-81.250;-324.375;Jab
28;20:56:11;510.000;-59.375;-251.875;Jab
29;20:56:11;486.250;0.2500;-192.500;Jab
30;20:56:11;462.500;94.375;-149.375;Jab
31;20:56:11;418.750;163.125;-116.250;Jab
32;20:56:11;309.375;227.500;-71.875;Jab
33;20:56:11;150.000;248.125;-0.7500;Jab
34;20:56:11;3.598.125;196.250;-23.750;Jab
35;20:56:11;3.465.625;122.500;-58.125;Jab
36;20:56:12;3.410.625;75.625;-119.375;Jab
37;20:56:12;3.400.625;56.875;-135.000;Jab
38;20:56:12;3.403.125;13.750;-146.875;Jab
39;20:56:12;3.400.000;-0.6250;-125.000;Jab
40;20:56:12;1.359.375;-21.875;-107.500;Jab
41;20:56:12;1.359.375;-19.375;-108.125;Jab
42;20:56:12;1.363.750;-16.875;-86.875;Jab
43;20:56:12;1.367.500;-15.000;-69.375;Jab
44;20:56:12;1.375.625;-0.5625;-54.375;Jab
45;20:56:12;1.375.625;11.875;-50.000;Jab
46;20:56:13;1.370.000;25.000;-46.875;Jab
47;20:56:13;1.371.250;28.125;-31.875;Jab
48;20:56:13;1.368.750;23.750;-26.250;Jab
49;20:56:13;1.365.625;19.375;-20.625;Jab
