Id;Tempo;aX;aY;aZ;Punch Type
1;20:56:08;0;0;0;Jab
2;20:56:08;0;0;0;Jab
3;20:56:08;0;0;0;Jab
4;20:56:08;0;0;0;Jab
5;20:56:08;0;0;0;Jab
6;20:56:08;0;0;0;Jab
7;20:56:09;65,625;2,625;-79,875;Jab
8;20:56:09;64,0625;4,0625;-79,5625;Jab
9;20:56:09;64,1875;4,5625;-78,8125;Jab
10;20:56:09;63,625;5,5;-75,4375;Jab
11;20:56:09;63,5;5,0625;-72,9375;Jab
12;20:56:09;64,6875;5,0625;-73,0625;Jab
13;20:56:09;65,6875;5,5;-73,1875;Jab
14;20:56:09;65,875;6;-71,4375;Jab
15;20:56:09;65,9375;6;-70,3125;Jab
16;20:56:10;65,4375;5,8125;-69,3125;Jab
17;20:56:10;65,1875;4,375;-67,875;Jab
18;20:56:10;66,625;1,1875;-69,75;Jab
19;20:56:10;69,375;-1,5;-72,375;Jab
20;20:56:10;73;-5,4375;-74,25;Jab
21;20:56:10;74,9375;-10,3125;-72,3125;Jab
22;20:56:10;74,9375;-13,25;-67,75;Jab
23;20:56:10;71,25;-13,1875;-61,0625;Jab
24;20:56:10;66,5625;-12,625;-53,8125;Jab
25;20:56:10;62,8125;-11,8125;-46,75;Jab
26;20:56:11;59,125;-9,5625;-40,0625;Jab
27;20:56:11;54,375;-8,125;-32,4375;Jab
28;20:56:11;51;-5,9375;-25,1875;Jab
29;20:56:11;48,625;0,25;-19,25;Jab
30;20:56:11;46,25;9,4375;-14,9375;Jab
31;20:56:11;41,875;16,3125;-11,625;Jab
32;20:56:11;30,9375;22,75;-7,1875;Jab
33;20:56:11;15;24,8125;-0,75;Jab
34;20:56:11;359,8125;19,625;-2,375;Jab
35;20:56:11;346,5625;12,25;-5,8125;Jab
36;20:56:12;341,0625;7,5625;-11,9375;Jab
37;20:56:12;340,0625;5,6875;-13,5;Jab
38;20:56:12;340,3125;1,375;-14,6875;Jab
39;20:56:12;340;-0,625;-12,5;Jab
40;20:56:12;135,9375;-2,1875;-10,75;Jab
41;20:56:12;135,9375;-1,9375;-10,8125;Jab
42;20:56:12;136,375;-1,6875;-8,6875;Jab
43;20:56:12;136,75;-1,5;-6,9375;Jab
44;20:56:12;137,5625;-0,5625;-5,4375;Jab
45;20:56:12;137,5625;1,1875;-5;Jab
46;20:56:13;137;2,5;-4,6875;Jab
47;20:56:13;137,125;2,8125;-3,1875;Jab
48;20:56:13;136,875;2,375;-2,625;Jab
49;20:56:13;136,5625;1,9375;-2,0625;Jab
50;20:56:13;136,3125;2;-2,1875;Jab
51;20:56:13;136,25;1,8125;-2,125;Jab
52;20:56:13;136,1875;1,625;-2;Jab
53;20:56:13;135,9375;1,5;-1,875;Jab
54;20:56:13;135,875;1,375;-1,8125;Jab
55;20:56:13;135,875;1,25;-1,75;Jab
56;20:56:14;135,6875;1,1875;-1,6875;Jab
57;20:56:14;135,5;1,125;-1,625;Jab
58;20:56:14;135,375;1;-1,625;Jab
59;20:56:14;135,375;0,9375;-1,5625;Jab
60;20:56:14;135,3125;0,9375;-1,5625;Jab
61;20:56:14;135,3125;0,875;-1,5;Jab
62;20:56:14;135,3125;0,8125;-1,5;Jab
63;20:56:14;135,125;0,8125;-1,4375;Jab
64;20:56:14;135,1875;0,75;-1,4375;Jab
65;20:56:14;135,125;0,75;-1,4375;Jab
66;20:56:15;135,125;0,6875;-1,4375;Jab
67;20:56:15;135,125;0,6875;-1,375;Jab
68;20:56:15;135,125;0,6875;-1,375;Jab
69;20:56:15;135,1875;0,6875;-1,375;Jab
70;20:56:15;135,125;0,6875;-1,375;Jab
71;20:56:15;135,0625;0,6875;-1,375;Jab
72;20:56:15;135,125;0,6875;-1,375;Jab
73;20:56:15;135,125;0,6875;-1,375;Jab
74;20:56:15;135,125;0,6875;-1,375;Jab
75;20:56:15;135,125;0,6875;-1,375;Jab
76;20:56:16;135,125;0,6875;-1,375;Jab
77;20:56:16;135,125;0,6875;-1,375;Jab
78;20:56:16;135,125;0,6875;-1,375;Jab
79;20:56:16;135,125;0,6875;-1,375;Jab
80;20:56:16;135,125;0,6875;-1,375;Jab
81;20:56:16;135,125;0,6875;-1,375;Jab
82;20:56:16;135,125;0,6875;-1,375;Jab
83;20:56:16;135,125;0,6875;-1,375;Jab
84;20:56:16;135,125;0,6875;-1,375;Jab
85;20:56:58;0;0;0;Jab
86;20:56:58;0;0;0;Jab
87;20:56:59;0;0;0;Jab
88;20:56:59;0;0;0;Jab
89;20:56:59;0;0;0;Jab
90;20:56:59;0;0;0;Jab
91;20:56:59;71;8,8125;-58,5625;Jab
92;20:56:59;71,125;7,625;-59,5625;Jab
93;20:56:59;70,8125;5,9375;-60,875;Jab
94;20:56:59;70,75;4,875;-61,5;Jab
95;20:56:59;69,6875;4,4375;-62,5;Jab
96;20:56:59;68,625;5,8125;-64,1875;Jab
97;20:57:00;69,625;5,3125;-65,4375;Jab
98;20:57:00;71,125;3,75;-65,5;Jab
99;20:57:00;72,875;1,4375;-66,6875;Jab
100;20:57:00;73,5;1,0625;-67,4375;Jab
101;20:57:00;72,625;1,75;-66,375;Jab
102;20:57:00;67,75;4,5;-60,0625;Jab
